City_ID,City,Latitude,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
150,Moyale,3.5167,39.0584,70.72,28,15,9.06
151,Geraldton,-28.7667,114.6,100.4,16,0,24.16
152,Yerbogachën,61.2767,108.0108,-37.01,79,54,7.43
153,Saint Paul Harbor,57.79,-152.4072,33.8,60,1,6.91
154,Eureka,40.8021,-124.1637,45.9,79,100,3.0
155,Praia da Vitória,38.7333,-27.0667,60.46,82,20,18.68
156,Padang,-0.9492,100.3543,86.0,66,69,6.91
157,Porto Santo,33.072,-16.3415,60.8,94,75,8.05
158,Kimbe,-5.5502,150.1429,83.48,77,99,8.05
159,Katsuura,35.1333,140.3,46.22,27,20,13.8
160,Kapoeta,4.7717,33.5903,82.58,34,96,12.33
161,Piaçabuçu,-10.4056,-36.4344,77.32,82,96,7.92
162,Ngama,11.7833,17.1667,66.07,25,8,10.2
163,Tyret’ Pervaya,53.6703,102.3106,7.65,94,100,4.07
164,Cap Malheureux,-19.9842,57.6142,84.99,71,0,7.0
165,Huarmey,-10.0681,-78.1522,70.79,75,97,6.69
166,Hermiston,45.8404,-119.2895,34.99,80,1,5.75
167,Jiaxing,30.7522,120.75,57.72,33,0,4.47
168,Gizo Government Station,-8.103,156.8419,86.74,71,25,14.81
169,Luganville,-15.5333,167.1667,83.32,76,80,11.52
170,Jacmel,18.2342,-72.5347,75.2,64,1,9.22
171,Daru,-9.0763,143.2092,79.74,86,99,11.95
172,Ilulissat,69.2167,-51.1,1.4,55,0,8.05
173,Bethel,41.3712,-73.414,10.65,52,1,9.22
174,Velsk,61.0701,42.0983,14.16,97,100,5.79
175,Barcelona,41.3888,2.159,53.92,93,0,10.36
176,Contamana,-7.3333,-75.0167,73.83,94,55,2.04
177,Thompson,55.7435,-97.8558,10.4,85,90,4.61
178,Soe,-9.8607,124.284,76.66,82,100,8.52
179,Asău,46.4333,26.4,41.0,58,100,5.41
180,Port Hawkesbury,45.6169,-61.3485,26.87,74,40,11.5
181,Lorengau,-2.0226,147.2712,83.41,81,100,10.27
182,Nivala,63.9167,24.9667,12.0,90,100,7.67
183,Morón,-34.6534,-58.6198,73.44,86,0,3.22
184,Fort-Shevchenko,44.5086,50.263,34.16,87,98,10.4
185,Capaci,38.1711,13.2393,61.5,72,20,17.27
186,Qurayyat,31.3318,37.3428,44.6,65,40,11.5
187,Mayo,38.8876,-76.5119,27.55,50,90,6.91
188,Charters Towers,-20.1,146.2667,91.74,27,91,10.56
189,Hay River,60.8156,-115.7999,-22.92,76,36,4.61
190,Oranjemund,-28.55,16.4333,59.97,90,5,10.2
191,Oktyabr'skoye,43.0645,44.7417,35.31,93,90,4.47
192,Kalabo,-14.97,22.6814,67.6,94,100,3.91
193,Shambu,9.5667,37.1,55.6,47,93,2.24
194,Cariré,-3.9506,-40.4733,75.06,83,98,3.18
195,Houma,29.5958,-90.7195,47.77,93,1,3.44
196,Mungwi,-10.1732,31.3694,64.24,92,100,0.74
197,Ponta do Sol,32.6667,-17.1,52.36,75,56,1.99
198,São Gabriel da Cachoeira,-0.1303,-67.0892,74.68,80,83,1.19
199,Srednekolymsk,67.45,153.6833,-34.4,83,99,3.29
200,Songea,-10.6833,35.65,66.65,91,87,2.46
201,Fortuna,40.5982,-124.1573,46.2,87,90,13.8
202,Yangi Marg`ilon,40.4272,71.7189,39.2,41,75,2.55
203,Adrar,20.5022,-10.0711,60.15,30,8,9.73
204,Saldanha,-33.0117,17.9442,66.83,76,84,9.15
205,Zliten,32.4674,14.5687,62.1,50,0,11.12
206,Ongole,15.5,80.05,81.7,58,99,6.29
207,Najrān,17.4924,44.1277,64.4,27,0,2.3
208,Bambanglipuro,-7.95,110.2833,84.54,68,100,8.68
209,Teguise,29.0605,-13.564,59.0,88,0,8.05
210,Kīhei,20.785,-156.4656,67.73,78,40,13.8
